codeUnit [public] should declaredIn class (packagename ¡°packageIdentifier¡±),Public code units should be declared in classes in package 'packageIdentifier'.,Public code unit in packageIdentifier.,
codeUnit [private] should declaredIn class(implement ¡°typeName¡±),Private code units should be declared in classes implementing 'typeName'.,Private code unit in class implementing typeName.,
codeUnit [protected] should declaredIn class (packagename ¡°packageIdentifier¡±),Protected code units should be declared in classes in package 'packageIdentifier'.,Protected code unit in packageIdentifier.,
codeUnit [private] should not declaredIn class (packagename ¡°packageIdentifier¡±),Private code units should not be declared in classes in package 'packageIdentifier'.,Private code unit not in packageIdentifier.,
codeUnit [packagePrivate] should declaredIn class (packagename ¡°packageIdentifier¡±),Package-private code units should be declared in classes in package 'packageIdentifier'.,Package-private code unit in packageIdentifier.,
codeUnit [public(haveNameMatching ¡°Regex¡±)] should declaredIn class (packagename ¡°packageIdentifier¡±),Public code units with names matching with 'Regex' should be declared in classes in package 'packageIdentifier'.,"Public code unit matching with Regex"" in packageIdentifier.""",A public codeUnit should be declared in a class within the specified package.
codeUnit [private] should not declaredIn class (packagename ¡°packageIdentifier¡±),Private code units should not be declared in classes in package 'packageIdentifier'.,Private code unit not in packageIdentifier.,A private codeUnit should be declared in a class implementing the specified type.
codeUnit [public (packagename ¡°packageIdentifier1¡±)] should declaredIn class (packagename ¡°packageIdentifier2¡±),Public code units in package 'packageIdentifier1' should be declared in classes in package 'packageIdentifier2'.,Public code unit from packageIdentifier1 in packageIdentifier2.,A protected codeUnit should be declared in a class within the specified package.
codeUnit [(haveNameMatching ¡°Regex¡±)] should declaredIn class (implement ¡°typeName¡±),Code units with names matching with 'Regex' should be declared in classes implementing 'typeName'.,"Code unit matching with Regex"" in class implementing typeName.""",A private codeUnit should not be declared in a class within the specified package.
codeUnit [(haveNameMatching ¡°Regex¡±)] should declaredIn class (packagename ¡°packageIdentifier¡±),Code units with names matching with 'Regex' should be declared in classes in package 'packageIdentifier'.,"Code unit matching with Regex"" in packageIdentifier.""",A package-private codeUnit should be declared in a class within the specified package.
codeUnit [public] should declaredIn class [public],Public code units should be declared in public classes.,Public code unit in public class.,A public codeUnit with a name matching the specified regex should be declared in a class within the specified package.
codeUnit [private] should declaredIn class[static],Private code units should be declared in static classes.,Private code unit in static class.,A private codeUnit should not be declared in a class within the specified package.
codeUnit [protected] should declaredIn class[protected],Protected code units should be declared in protected classes.,Protected code unit in protected class.,A public codeUnit in the specified package should be declared in a class within another specified package.
codeUnit [private] should not declaredIn class [packagePrivate],Private code units should not be declared in package-private classes.,Private code unit not in package-private class.,A codeUnit with a name matching the specified regex should be declared in a class implementing the specified type.
codeUnit [packagePrivate] should declaredIn class [final],Package-private code units should be declared in final classes.,Package-private code unit in final class.,A codeUnit with a name matching the specified regex should be declared in a class within the specified package.
codeUnit [public(haveNamematching ¡°get¡±)] should declaredIn class [private],Public code units with names matching with 'get' should be declared in private classes.,"Public code unit matching with get"" in private class.""",A public codeUnit should be declared in a public class.
codeUnit [private] should not declaredIn class (packagename ¡°packageIdentifier1¡±),Private code units should not be declared in classes in package 'packageIdentifier1'.,Private code unit not in packageIdentifier1.,A private codeUnit should be declared in a static class.
codeUnit [public (packagename ¡°packageIdentifier1¡±)] should declaredIn class [public(packagename ¡°packageIdentifier2¡±)],Public code units in package 'packageIdentifier1' should be declared in public classes in package 'packageIdentifier2'.,Public code unit from packageIdentifier1 in packageIdentifier2 public class.,A protected codeUnit should be declared in a protected class.
codeUnit [(haveNameMatching ¡°Regex¡±)] should declaredIn class [public(implement ¡°typeName¡±)],Code units with names matching with 'Regex' should be declared in public classes implementing 'typeName'.,"Code unit matching with Regex"" in public class implementing typeName.""",A private codeUnit should not be declared in a package-private class.
codeUnit [(haveNameMatching ¡°Regex¡±)] should declaredIn class [static(packagename ¡°packageIdentifier¡±)],Code units with names matching with 'Regex' should be declared in static classes in package 'packageIdentifier'.,"Code unit matching with Regex"" in static class in packageIdentifier.""",A package-private codeUnit should be declared in a final class.
codeUnit [private] should beAnnotatedWith (¡°annotationTypeName¡±),Private code units should be annotated with 'annotationTypeName'.,Private code unit annotated with annotationTypeName.,"A public codeUnit with a name matching get"" should be declared in a private class."""
codeUnit [protected] should haveFullNameMatching (¡°regex¡±),Protected code units should have full names matching the regex.,Protected code unit with full name matching regex.,A private codeUnit should not be declared in a class within the specified package.
codeUnit [private] should haveModifier(¡°JavaModifier¡±),Private code units should have the modifier 'JavaModifier'.,Private code unit with JavaModifier.,A public codeUnit in the specified package should be declared in a public class within another specified package.
codeUnit [packagePrivate] should haveNameMatching(¡°regex¡±),Package-private code units should have names matching the regex.,Package-private code unit with name matching regex.,A codeUnit with a name matching the specified regex should be declared in a public class implementing the specified type.
codeUnit [public] should haveNameEndingWith(¡°regex¡±),Public code units should have names ending with the regex.,Public code unit with name ending with regex.,A codeUnit with a name matching the specified regex should be declared in a static class within the specified package.
codeUnit [private] should not declaredIn class (packagename ¡°packageIdentifier¡±),Private code units should not be declared in classes in package 'packageIdentifier'.,Private code unit not in packageIdentifier.,A private codeUnit should be annotated with the specified annotation type.
codeUnit [public] should haveNameStartingWith(¡°regex¡±),Public code units should have names starting with the regex.,Public code unit with name starting with regex.,A protected codeUnit should have a full name matching the specified regex.
codeUnit [public] should haveRawReturnType(¡°typeName¡±),Public code units should have raw return types of 'typeName'.,Public code unit with raw return type typeName.,A private codeUnit should have the specified Java modifier.
codeUnit [private] should haveRawParameterTypes(¡°typeName¡±),Private code units should have raw parameter types of 'typeName'.,Private code unit with raw parameter types typeName.,A package-private codeUnit should have a name matching the specified regex.
codeUnit [private] should declareThrowableOfType(¡°typeName¡±),Private code units should declare throwable types of 'typeName'.,Private code unit declaring throwable of type typeName.,A public codeUnit should have a name ending with the specified regex.
codeUnit [static(packagename ¡°packageIdentifier¡±)] should BePublic.,Static code units in package 'packageIdentifier' should be public.,Static code unit in packageIdentifier should be public.,A private codeUnit should not be declared in a class within the specified package.
codeUnit [final(packagename ¡°packageIdentifier¡±)] should BePrivate.,Final code units in package 'packageIdentifier' should be private.,Final code unit in packageIdentifier should be private.,A public codeUnit should have a name starting with the specified regex.
codeUnit [private(packagename ¡°packageIdentifier¡±)] should BeProtected.,Private code units in package 'packageIdentifier' should be protected.,Private code unit in packageIdentifier should be protected.,A public codeUnit should have a raw return type matching the specified type.
codeUnit [public(packagename ¡°packageIdentifier¡±)] should BePackagePrivate.,Public code units in package 'packageIdentifier' should be package-private.,Public code unit in packageIdentifier should be package-private.,A private codeUnit should have raw parameter types matching the specified type.
codeUnit [(haveNameMatching ¡°regex¡±)] should BePublic.,Code units with names matching with 'regex' should be public.,Code unit matching with regex should be public.,A private codeUnit should declare a throwable of the specified type.
,,,A static codeUnit in the specified package should be public.
,,,A final codeUnit in the specified package should be private.
,,,A private codeUnit in the specified package should be protected.
,,,A public codeUnit in the specified package should be package-private.
,,,A codeUnit with a name matching the specified regex should be public.
