Method [public] should not declaredIn class (packagename ¡°packageIdentifier1¡±),Public methods should not be declared in classes in package 'packageIdentifier1'.,Public method not in packageIdentifier1.,A public method should not be declared in a class within the specified package.
method[private] should declaredIn class(implement ¡°typeName1¡±),Private methods should be declared in classes implementing 'typeName1'.,Private method in class implementing typeName1.,A private method should be declared in a class implementing the specified type.
method[protected] should declaredIn class (packagename ¡°packageIdentifier1¡±),Protected methods should be declared in classes in package 'packageIdentifier1'.,Protected method in packageIdentifier1.,A protected method should be declared in a class within the specified package.
Method [final] should not declaredIn class (packagename ¡°packageIdentifier1¡±),Final methods should not be declared in classes in package 'packageIdentifier1'.,Final method not in packageIdentifier1.,A final method should not be declared in a class within the specified package.
method[packagePrivate] should declaredIn class (packagename ¡°packageIdentifier1¡±),Package-private methods should be declared in classes in package 'packageIdentifier1'.,Package-private method in packageIdentifier1.,A package-private method should be declared in a class within the specified package.
method[public(haveNameMatching ¡°get¡±)] should declaredIn class (packagename ¡°packageIdentifier1¡±),Public methods with names matching with 'get' should be declared in classes in package 'packageIdentifier1'.,"Public method matching with get"" in packageIdentifier1.""","A public method with a name matching get"" should be declared in a class within the specified package."""
method[private final] should not declaredIn class (packagename ¡°packageIdentifier1¡±),Private final methods should not be declared in classes in package 'packageIdentifier1'.,Private final method not in packageIdentifier1.,A private final method should not be declared in a class within the specified package.
method[public static(packagename ¡°packageIdentifier2¡±)] should not declaredIn class (packagename ¡°packageIdentifier1¡±),Public static methods in package 'packageIdentifier2' should not be declared in classes in package 'packageIdentifier1'.,Public static method from packageIdentifier2 not in packageIdentifier1.,A public static method in the specified package should not be declared in a class within another specified package.
method[public static (haveNameMatching ¡°X1¡±)] should declaredIn class (packagename ¡°packageIdentifier1¡±),Public static methods with names matching with 'X1' should be declared in classes in package 'packageIdentifier1'.,"Public static method matching with X1"" in packageIdentifier1.""","A public static method with a name matching X1"" should be declared in a class within the specified package."""
method[protected final (haveNameMatching ¡°X1¡±)] should declaredIn class (packagename ¡°packageIdentifier1¡±),Protected final methods with names matching with 'X1' should be declared in classes in package 'packageIdentifier1'.,"Protected final method matching with X1"" in packageIdentifier1.""","A protected final method with a name matching X1"" should be declared in a class within the specified package."""
Method [public] should declaredIn class [public],Public methods should be declared in public classes.,Public method in public class.,A public method should be declared in a public class.
method[private] should declaredIn class[private],Private methods should be declared in private classes.,Private method in private class.,A private method should be declared in a private class.
method[protected] should declaredIn class [protected],Protected methods should be declared in protected classes.,Protected method in protected class.,A protected method should be declared in a protected class.
Method [final] should not declaredIn class [final],Final methods should not be declared in final classes.,Final method not in final class.,A final method should not be declared in a final class.
method[packagePrivate] should declaredIn class [packagePrivate],Package-private methods should be declared in package-private classes.,Package-private method in package-private class.,A package-private method should be declared in a package-private class.
method[public(haveNameMatching ¡°get¡±)] should declaredIn class [final],Public methods with names matching 'get' should be declared in final classes.,"Public method matching with get"" in final class.""","A public method with a name matching get"" should be declared in a final class."""
method[private final] should declaredIn class [packagePrivate],Private final methods should be declared in package-private classes.,Private final method in package-private class.,A private final method should be declared in a package-private class.
method[public static(packagename ¡°packageIdentifier¡±)] should not declaredIn class [public static],Public static methods in package 'packageIdentifier' should not be declared in public static classes.,Public static method not in public static class.,A public static method in the specified package should not be declared in a public static class.
method[public static (haveNameMatching ¡°regex¡±)] should declaredIn class [public(packagename ¡°packageIdentifier1¡±)],Public static methods with names matching with 'regex' should be declared in public classes in package 'packageIdentifier1'.,Public static method matching with regex in packageIdentifier1 public class.,A public static method with a name matching the specified regex should be declared in a public class within the specified package.
method[protected final (haveNameMatching ¡°regex¡±)] should declaredIn class [static(packagename ¡°packageIdentifier1¡±)],Protected final methods with names matching with 'X1' should be declared in static classes in package 'packageIdentifier1'.,"Protected final method matching with X1"" in static class in packageIdentifier1.""","A protected final method with a name matching X1"" should be declared in a static class within the specified package."""
Method [public] should beAnnotatedWith(¡°annotatedTypeName ¡±),Public methods should be annotated with the specified annotation.,Public method annotated with .,A public method should be annotated with the specified annotation type.
method[private] should declaredIn (¡°className¡±),Private methods should be declared in the specified class.,Private method in className.,A private method should be declared in a class matching the specified name.
method[protected] should haveParameterTypes ¡°typeName¡±,Protected methods should have parameter types of 'typeName'.,Protected method with parameter types typeName.,A protected method should have parameter types matching the specified type.
Method [final] should haveFullNameMatching( ¡°Regex¡±),Final methods should have full names matching 'String'.,"Final method with full name matching String"".""",A final method should have a full name matching the specified string.
method[packagePrivate] should haveNameEndingWith(¡°String¡±),Package-private methods should have names ending with 'String'.,"Package-private method with name ending with String"".""",A package-private method should have a name ending with the specified string.
method[public(haveNameStarting ¡°get¡±)] should haveNameStartingWith(¡°String¡±),Public methods with names matching with 'get' should have names matching with 'String'.,"Public method matching with get"" and name matching with ""String"".""","A public method with a name matching get"" should have a name matching the specified string."""
method[private final] should haveRawReturnType ¡°returnType¡±,Private final methods should have raw return types of 'returnType'.,Private final method with raw return type returnType.,A private final method should have a raw return type matching the specified type.
method[public static(packagename ¡°packageIdentifier2¡±)] should haveRawParameterTypes(¡°ParameterType¡±),Public static methods in package 'packageIdentifier2' should have raw parameter types of 'ParameterType'.,Public static method with raw parameter types ParameterType.,A public static method in the specified package should have raw parameter types matching the specified type.
method[public static (haveNameMatching ¡°String1¡±)] should haveFullName ¡°String2¡±,Public static methods with names matching with 'String1' should have full names of 'String2'.,"Public static method matching with String1"" with full name ""String2"".""","A public static method with a name matching String1"" should have a full name matching ""String2""."""
method[protected final (haveNameMatching ¡°String1¡±)] should haveNameContaining ¡°String2¡±,Protected final methods with names matching with 'String1' should have names containing 'String2'.,"Protected final method matching with String1"" containing ""String2"".""","A protected final method with a name matching String1"" should have a name containing ""String2""."""
method[static] should BePublic.,Static methods should be public.,Static method should be public.,A static method should be public.
method[final] should BeStatic.,Final methods should be static.,Final method should be static.,A final method should be static.
method[private] should BeProtected.,Private methods should be protected.,Private method should be protected.,A private method should be protected.
method[public(packagename ¡°packageIdentifier¡±)] should BePackagePrivate,Public methods in package 'X1' should be package-private.,Public method in X1 should be package-private.,A public method in the specified package should be package-private.
method[(haveNameMatching ¡°regex¡±)] should BePublic.,Methods with names matching with 'get' should be public.,"Method matching with get"" should be public.""","A method with a name matching get"" should be public."""
